#Unit,Date,PageNum,PageID,Place1,Place2,Place3,activity,count,Place1_Geo,Place2_Geo,Place3_Geo,Location,longitude,latitude,name
3 DIVISION: 13 Battalion King's Liverpool Regiment,1918-06-08,123,AWD0002alr,Chocques,,,activity:fire,1.0,"[2.5696056999999999, 50.5391865, 'Chocques']",,,"[2.5696056999999999, 50.5391865, 'Chocques']",2.5696057,50.5391865,Chocques
3 DIVISION: 13 Battalion King's Liverpool Regiment,1918-08-21,129 130,AWD0002amp AWD0002alj,Arras,,,activity:fire,6.0,"[2.7772210999999998, 50.291047999999996, 'Arras']",,,"[2.7772210999999998, 50.291047999999996, 'Arras']",2.7772210999999998,50.291047999999996,Arras
3 DIVISION: 13 Battalion King's Liverpool Regiment,1918-08-22,130 131,AWD0002alj AWD0002an1,Arras,,,activity:fire,2.0,"[2.7772210999999998, 50.291047999999996, 'Arras']",,,"[2.7772210999999998, 50.291047999999996, 'Arras']",2.7772210999999998,50.291047999999996,Arras
3 DIVISION: 13 Battalion King's Liverpool Regiment,1918-08-23,131,AWD0002an1,Arras,Gomiecourt,,activity:fire,1.0,"[2.7772210999999998, 50.291047999999996, 'Arras']",,,"[2.7772210999999998, 50.291047999999996, 'Arras']",2.7772210999999998,50.291047999999996,Arras
3 DIVISION: 13 Battalion King's Liverpool Regiment,1918-08-23,131,AWD0002an1,Ayette,Gomiecourt,,activity:fire,1.0,"[2.7342306000000001, 50.174709100000001, 'Ayette']",,,"[2.7342306000000001, 50.174709100000001, 'Ayette']",2.7342306,50.1747091,Ayette
3 DIVISION: 13 Battalion King's Liverpool Regiment,1915-11-30,7 9 15,AWD00009of AWD00009p2 AWD00009ov,Poperinge,Voormezeele,Dickebusch,activity:line,4.0,"[2.7265900000000003, 50.853859999999997, 'Poperinge']",,,"[2.7265900000000003, 50.853859999999997, 'Poperinge']",2.7265900000000003,50.85386,Poperinge
3 DIVISION: 13 Battalion King's Liverpool Regiment,1916-04-24,3,AWD0002al6,Kemmel,Bailleul,,activity:line,1.0,"[2.8258709, 50.7828552, 'Kemmel']","[2.7349285999999999, 50.739666799999995, 'Bailleul']",,"[2.8258709, 50.7828552, 'Kemmel']",2.8258709,50.7828552,Kemmel
3 DIVISION: 13 Battalion King's Liverpool Regiment,1916-04-24,3,AWD0002al6,Bailleul,Kemmel,,activity:line,1.0,"[2.7349285999999999, 50.739666799999995, 'Bailleul']","[2.8258709, 50.7828552, 'Kemmel']",,"[2.7349285999999999, 50.739666799999995, 'Bailleul']",2.7349286,50.739666799999995,Bailleul
3 DIVISION: 13 Battalion King's Liverpool Regiment,1916-04-29,3,AWD0002al6,Kemmel,,,activity:line,2.0,"[2.8258709, 50.7828552, 'Kemmel']",,,"[2.8258709, 50.7828552, 'Kemmel']",2.8258709,50.7828552,Kemmel
3 DIVISION: 13 Battalion King's Liverpool Regiment,1916-04-30,3,AWD0002al6,Locre,Kemmel,,activity:line,3.0,"[11.232014100000001, 45.711117600000001, 'Locre']","[2.8258709, 50.7828552, 'Kemmel']",,"[11.232014100000001, 45.711117600000001, 'Locre']",11.2320141,45.7111176,Locre
3 DIVISION: 13 Battalion King's Liverpool Regiment,1916-05-11,5,AWD0002anc,York House,Locre,,activity:line,2.0,,"[11.232014100000001, 45.711117600000001, 'Locre']",,"[11.232014100000001, 45.711117600000001, 'Locre']",11.2320141,45.7111176,Locre
3 DIVISION: 13 Battalion King's Liverpool Regiment,1916-05-13,5,AWD0002anc,York House,Locre,,activity:line,5.0,,"[11.232014100000001, 45.711117600000001, 'Locre']",,"[11.232014100000001, 45.711117600000001, 'Locre']",11.2320141,45.7111176,Locre
3 DIVISION: 13 Battalion King's Liverpool Regiment,1916-05-25,5,AWD0002anc,Locre,,,activity:line,1.0,"[11.232014100000001, 45.711117600000001, 'Locre']",,,"[11.232014100000001, 45.711117600000001, 'Locre']",11.2320141,45.7111176,Locre
3 DIVISION: 13 Battalion King's Liverpool Regiment,1916-05-25,5,AWD0002anc,R.C. Farm,Locre,,activity:line,2.0,,"[11.232014100000001, 45.711117600000001, 'Locre']",,"[11.232014100000001, 45.711117600000001, 'Locre']",11.2320141,45.7111176,Locre
3 DIVISION: 13 Battalion King's Liverpool Regiment,1916-06-05,7,AWD0002alq,Meteren,Voormezeele,H Camp,activity:line,1.0,"[5.2832385999999998, 51.863605, 'Meteren']",,,"[5.2832385999999998, 51.863605, 'Meteren']",5.2832386,51.863605,Meteren
3 DIVISION: 13 Battalion King's Liverpool Regiment,1916-07-07,10,AWD0002aoi,Bertangles,Morlancourt,,activity:line,2.0,"[2.2992907000000002, 49.970940399999996, 'Bertangles']","[2.6288323999999998, 49.950468600000001, 'Morlancourt']",,"[2.2992907000000002, 49.970940399999996, 'Bertangles']",2.2992907000000002,49.970940399999996,Bertangles
3 DIVISION: 13 Battalion King's Liverpool Regiment,1916-07-10,10,AWD0002aoi,Carnoy,,,activity:line,4.0,"[2.7563297000000002, 49.985337899999998, 'Carnoy']",,,"[2.7563297000000002, 49.985337899999998, 'Carnoy']",2.7563297,49.9853379,Carnoy
3 DIVISION: 13 Battalion King's Liverpool Regiment,1916-07-13,10,AWD0002aoi,Carnoy,,,activity:line,2.0,"[2.7563297000000002, 49.985337899999998, 'Carnoy']",,,"[2.7563297000000002, 49.985337899999998, 'Carnoy']",2.7563297,49.9853379,Carnoy
3 DIVISION: 13 Battalion King's Liverpool Regiment,1916-07-13,10,AWD0002aoi,Carnoy,,,activity:line,6.0,"[2.7563297000000002, 49.985337899999998, 'Carnoy']",,,"[2.7563297000000002, 49.985337899999998, 'Carnoy']",2.7563297,49.9853379,Carnoy
3 DIVISION: 13 Battalion King's Liverpool Regiment,1916-07-14,10,AWD0002aoi,Carnoy,,,activity:line,3.0,"[2.7563297000000002, 49.985337899999998, 'Carnoy']",,,"[2.7563297000000002, 49.985337899999998, 'Carnoy']",2.7563297,49.9853379,Carnoy
3 DIVISION: 13 Battalion King's Liverpool Regiment,1916-07-19,11,AWD0002aog,Carnoy,,,activity:line,2.0,"[2.7563297000000002, 49.985337899999998, 'Carnoy']",,,"[2.7563297000000002, 49.985337899999998, 'Carnoy']",2.7563297,49.9853379,Carnoy
3 DIVISION: 13 Battalion King's Liverpool Regiment,1916-09-07,22,AWD0002anx,Maringarbe,,,activity:line,1.0,"[2.7185236000000002, 50.469306599999996, 'Mazingarbe']",,,"[2.7185236000000002, 50.469306599999996, 'Mazingarbe']",2.7185236,50.469306599999996,Mazingarbe
3 DIVISION: 13 Battalion King's Liverpool Regiment,1916-09-09,22,AWD0002anx,Maringarbe,,,activity:line,2.0,"[2.7185236000000002, 50.469306599999996, 'Mazingarbe']",,,"[2.7185236000000002, 50.469306599999996, 'Mazingarbe']",2.7185236,50.469306599999996,Mazingarbe
3 DIVISION: 13 Battalion King's Liverpool Regiment,1916-09-16,22,AWD0002anx,Maringarbe,,,activity:line,7.0,"[2.7185236000000002, 50.469306599999996, 'Mazingarbe']",,,"[2.7185236000000002, 50.469306599999996, 'Mazingarbe']",2.7185236,50.469306599999996,Mazingarbe
3 DIVISION: 13 Battalion King's Liverpool Regiment,1916-09-16,22,AWD0002anx,Maringarbe,,,activity:line,1.0,"[2.7185236000000002, 50.469306599999996, 'Mazingarbe']",,,"[2.7185236000000002, 50.469306599999996, 'Mazingarbe']",2.7185236,50.469306599999996,Mazingarbe
3 DIVISION: 13 Battalion King's Liverpool Regiment,1916-10-13,24,AWD0002anv,Bertrancourt,,,activity:line,2.0,"[2.87704, 49.285499999999999, 'Bethancourt-en-Valois']",,,"[2.87704, 49.285499999999999, 'Bethancourt-en-Valois']",2.87704,49.2855,Bethancourt-en-Valois
3 DIVISION: 13 Battalion King's Liverpool Regiment,1916-10-13,24,AWD0002anv,Bertrancourt,,,activity:line,6.0,"[2.87704, 49.285499999999999, 'Bethancourt-en-Valois']",,,"[2.87704, 49.285499999999999, 'Bethancourt-en-Valois']",2.87704,49.2855,Bethancourt-en-Valois
3 DIVISION: 13 Battalion King's Liverpool Regiment,1916-11-12,27,AWD0002amz,Courcelles,,,activity:line,2.0,"[3.0139099999999996, 49.926749999999998, 'Buire-Courcelles']",,,"[3.0139099999999996, 49.926749999999998, 'Buire-Courcelles']",3.0139099999999996,49.92675,Buire-Courcelles
3 DIVISION: 13 Battalion King's Liverpool Regiment,1916-11-13,27,AWD0002amz,Courcelles,,,activity:line,1.0,"[3.0139099999999996, 49.926749999999998, 'Buire-Courcelles']",,,"[3.0139099999999996, 49.926749999999998, 'Buire-Courcelles']",3.0139099999999996,49.92675,Buire-Courcelles
3 DIVISION: 13 Battalion King's Liverpool Regiment,1916-11-14,27,AWD0002amz,Courcelles,,,activity:line,1.0,"[3.0139099999999996, 49.926749999999998, 'Buire-Courcelles']",,,"[3.0139099999999996, 49.926749999999998, 'Buire-Courcelles']",3.0139099999999996,49.92675,Buire-Courcelles
3 DIVISION: 13 Battalion King's Liverpool Regiment,1916-11-23,28,AWD0002aof,Courcelles,,,activity:line,7.0,"[3.0139099999999996, 49.926749999999998, 'Buire-Courcelles']",,,"[3.0139099999999996, 49.926749999999998, 'Buire-Courcelles']",3.0139099999999996,49.92675,Buire-Courcelles
3 DIVISION: 13 Battalion King's Liverpool Regiment,1916-11-25,28,AWD0002aof,Marieux,,,activity:line,6.0,"[2.4414783, 50.106204600000005, 'Marieux']",,,"[2.4414783, 50.106204600000005, 'Marieux']",2.4414783,50.106204600000005,Marieux
3 DIVISION: 13 Battalion King's Liverpool Regiment,1916-12-09,31,AWD0002aoh,Courcelles,,,activity:line,1.0,"[3.0139099999999996, 49.926749999999998, 'Buire-Courcelles']",,,"[3.0139099999999996, 49.926749999999998, 'Buire-Courcelles']",3.0139099999999996,49.92675,Buire-Courcelles
3 DIVISION: 13 Battalion King's Liverpool Regiment,1916-12-25,33,AWD0002amt,Bus Wood,Courcelles,,activity:line,6.0,,"[3.0139099999999996, 49.926749999999998, 'Buire-Courcelles']",,"[3.0139099999999996, 49.926749999999998, 'Buire-Courcelles']",3.0139099999999996,49.92675,Buire-Courcelles
3 DIVISION: 13 Battalion King's Liverpool Regiment,1916-12-27,33,AWD0002amt,Courcelles,,,activity:line,3.0,"[3.0139099999999996, 49.926749999999998, 'Buire-Courcelles']",,,"[3.0139099999999996, 49.926749999999998, 'Buire-Courcelles']",3.0139099999999996,49.92675,Buire-Courcelles
3 DIVISION: 13 Battalion King's Liverpool Regiment,1916-12-28,34,AWD0002an7,Courcelles,,,activity:line,4.0,"[3.0139099999999996, 49.926749999999998, 'Buire-Courcelles']",,,"[3.0139099999999996, 49.926749999999998, 'Buire-Courcelles']",3.0139099999999996,49.92675,Buire-Courcelles
3 DIVISION: 13 Battalion King's Liverpool Regiment,1917-04-08,45,AWD0002ank,Arras,,,activity:line,2.0,"[2.7772210999999998, 50.291047999999996, 'Arras']",,,"[2.7772210999999998, 50.291047999999996, 'Arras']",2.7772210999999998,50.291047999999996,Arras
3 DIVISION: 13 Battalion King's Liverpool Regiment,1917-05-01,49,AWD0002an2,Arras,,,activity:line,6.0,"[2.7772210999999998, 50.291047999999996, 'Arras']",,,"[2.7772210999999998, 50.291047999999996, 'Arras']",2.7772210999999998,50.291047999999996,Arras
