#Unit,Date,PageNum,PageID,Place1,Place2,Place3,activity,count,Place1_Geo,Place2_Geo,Place3_Geo,Location,longitude,latitude,name
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,1916-07-01,61,AWD0000n73,Saint Omer,Eperlecques,,activity:strength,2.0,"[2.2540754000000001, 50.752191400000001, 'Saint-Omer']",,,"[2.2540754000000001, 50.752191400000001, 'Saint-Omer']",2.2540754,50.7521914,Saint-Omer
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,1916-07-05,61,AWD0000n73,Franvillers,Rainneville,,activity:strength,4.0,"[2.5067840000000001, 49.965463200000002, 'Franvillers']",,,"[2.5067840000000001, 49.965463200000002, 'Franvillers']",2.506784,49.9654632,Franvillers
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,1916-07-06,62,AWD0000n5j,Bois Celestine,Franvillers,,activity:strength,3.0,,"[2.5067840000000001, 49.965463200000002, 'Franvillers']",,"[2.5067840000000001, 49.965463200000002, 'Franvillers']",2.506784,49.9654632,Franvillers
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,1916-07-27,72 73,AWD0000n3w AWD0000n4b,Bois de Tailles,Somme,,activity:strength,4.0,,"[2.7174930000000002, 49.940190399999999, 'Bray-sur-Somme']",,"[2.7174930000000002, 49.940190399999999, 'Bray-sur-Somme']",2.717493,49.9401904,Bray-sur-Somme
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,1916-07-28,73,AWD0000n4b,Mericourt,Bois de Tailles,,activity:strength,1.0,"[2.5654499999999998, 49.952129999999997, ""Mericourt-l'Abbe""]",,,"[2.5654499999999998, 49.952129999999997, ""Mericourt-l'Abbe""]",2.56545,49.95213,Mericourt-l'Abbe
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,1916-07-30,73,AWD0000n4b,Mericourt,Mericourt l'Abbe,,activity:strength,5.0,"[2.5654499999999998, 49.952129999999997, ""Mericourt-l'Abbe""]","[2.5654499999999998, 49.952129999999997, ""Mericourt-l'Abbe""]",,"[2.5654499999999998, 49.952129999999997, ""Mericourt-l'Abbe""]",2.56545,49.95213,Mericourt-l'Abbe
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,1916-07-31,73 74,AWD0000n4b AWD0000n3a,Mericourt,Mericourt l'Abbe,,activity:strength,3.0,"[2.5654499999999998, 49.952129999999997, ""Mericourt-l'Abbe""]","[2.5654499999999998, 49.952129999999997, ""Mericourt-l'Abbe""]",,"[2.5654499999999998, 49.952129999999997, ""Mericourt-l'Abbe""]",2.56545,49.95213,Mericourt-l'Abbe
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,1916-08-21,84,AWD0000n4n,Morlancourt,Happy Valley,,activity:strength,3.0,"[2.6288323999999998, 49.950468600000001, 'Morlancourt']",,,"[2.6288323999999998, 49.950468600000001, 'Morlancourt']",2.6288324,49.9504686,Morlancourt
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,1916-08-31,87,AWD0000n6t,Noeux Les Mines,,,activity:strength,5.0,"[2.7198900000000004, 50.446399999999997, 'Bully-les-Mines']",,,"[2.7198900000000004, 50.446399999999997, 'Bully-les-Mines']",2.7198900000000004,50.4464,Bully-les-Mines
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,1916-09-10,93,AWD0000n3n,Loos,,,activity:strength,3.0,"[3.0162522999999997, 50.609208200000005, 'Loos']",,,"[3.0162522999999997, 50.609208200000005, 'Loos']",3.0162522999999997,50.609208200000005,Loos
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,1916-09-11,93,AWD0000n3n,Loos,,,activity:strength,3.0,"[3.0162522999999997, 50.609208200000005, 'Loos']",,,"[3.0162522999999997, 50.609208200000005, 'Loos']",3.0162522999999997,50.609208200000005,Loos
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,1916-09-16,94,AWD0000n62,Loos,,,activity:strength,1.0,"[3.0162522999999997, 50.609208200000005, 'Loos']",,,"[3.0162522999999997, 50.609208200000005, 'Loos']",3.0162522999999997,50.609208200000005,Loos
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,1916-09-17,94,AWD0000n62,Mazingarbe,,,activity:strength,5.0,"[2.7185236000000002, 50.469306599999996, 'Mazingarbe']",,,"[2.7185236000000002, 50.469306599999996, 'Mazingarbe']",2.7185236,50.469306599999996,Mazingarbe
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,1916-09-20,95,AWD0000n47,Mazingarbe,,,activity:strength,4.0,"[2.7185236000000002, 50.469306599999996, 'Mazingarbe']",,,"[2.7185236000000002, 50.469306599999996, 'Mazingarbe']",2.7185236,50.469306599999996,Mazingarbe
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,1916-09-27,97,AWD0000n2i,Liettres,,,activity:strength,4.0,"[2.4177, 50.554139999999997, 'Lieres']",,,"[2.4177, 50.554139999999997, 'Lieres']",2.4177,50.55414,Lieres
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,1916-10-12,101,AWD0000n2w,Bertrancourt,,,activity:strength,5.0,"[2.87704, 49.285499999999999, 'Bethancourt-en-Valois']",,,"[2.87704, 49.285499999999999, 'Bethancourt-en-Valois']",2.87704,49.2855,Bethancourt-en-Valois
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,1916-10-14,101,AWD0000n2w,Bertrancourt,,,activity:strength,1.0,"[2.87704, 49.285499999999999, 'Bethancourt-en-Valois']",,,"[2.87704, 49.285499999999999, 'Bethancourt-en-Valois']",2.87704,49.2855,Bethancourt-en-Valois
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,1916-10-22,102,AWD0000n23,Somme,Bus,,activity:strength,3.0,"[2.7174930000000002, 49.940190399999999, 'Bray-sur-Somme']",,,"[2.7174930000000002, 49.940190399999999, 'Bray-sur-Somme']",2.717493,49.9401904,Bray-sur-Somme
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,1916-11-15,110,AWD0000n64,Courcelles,,,activity:strength,2.0,"[3.0139099999999996, 49.926749999999998, 'Buire-Courcelles']",,,"[3.0139099999999996, 49.926749999999998, 'Buire-Courcelles']",3.0139099999999996,49.92675,Buire-Courcelles
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,1916-11-16,110,AWD0000n64,Courcelles,,,activity:strength,2.0,"[3.0139099999999996, 49.926749999999998, 'Buire-Courcelles']",,,"[3.0139099999999996, 49.926749999999998, 'Buire-Courcelles']",3.0139099999999996,49.92675,Buire-Courcelles
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,1916-11-17,110,AWD0000n64,Serre Trenches,Courcelles,,activity:strength,4.0,,"[3.0139099999999996, 49.926749999999998, 'Buire-Courcelles']",,"[3.0139099999999996, 49.926749999999998, 'Buire-Courcelles']",3.0139099999999996,49.92675,Buire-Courcelles
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,1916-12-01,116,AWD0000n6y,Courcelles,Serre Trenches,,activity:strength,5.0,"[3.0139099999999996, 49.926749999999998, 'Buire-Courcelles']",,,"[3.0139099999999996, 49.926749999999998, 'Buire-Courcelles']",3.0139099999999996,49.92675,Buire-Courcelles
