#Unit,Date,PageNum,PageID,Place1,Place2,Place3,activity,count,Place1_Geo,Place2_Geo,Place3_Geo,Location,longitude,latitude,name
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-11-26,316,AWD0000mwo,Thuin,Thy le Chateau,,domestic:parades,1.0,"[4.2870474999999999, 50.339744500000002, 'Thuin']","[4.4295499999999999, 50.282049999999998, 'Thy-le-Chateau']",,"[4.2870474999999999, 50.339744500000002, 'Thuin']",4.2870475,50.3397445,Thuin
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-12-02,319,AWD0000mu8,Mohiville,Natoye,,domestic:parades,3.0,"[5.1923275000000002, 50.3176664, 'Mohiville']","[5.0562172999999992, 50.341355900000003, 'Natoye']",,"[5.1923275000000002, 50.3176664, 'Mohiville']",5.1923275,50.3176664,Mohiville
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-12-18,320,AWD0000muw,Freisheim,Munstereifel,,domestic:parades,10.0,"[6.9307867999999999, 50.550426700000003, 'Freisheim']","[6.7636510999999997, 50.554567400000003, 'Bad Münstereifel']",,"[6.9307867999999999, 50.550426700000003, 'Freisheim']",6.9307868,50.5504267,Freisheim
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-12-22,320,AWD0000muw,Balkhausen,,,domestic:parades,3.0,"[6.7598098000000002, 50.855628199999998, 'Balkhausen']",,,"[6.7598098000000002, 50.855628199999998, 'Balkhausen']",6.7598098,50.8556282,Balkhausen
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-12-24,320,AWD0000muw,Balkhausen,Turnich,,domestic:parades,1.0,"[6.7598098000000002, 50.855628199999998, 'Balkhausen']","[6.7471576000000004, 50.864197400000002, 'Türnich']",,"[6.7598098000000002, 50.855628199999998, 'Balkhausen']",6.7598098,50.8556282,Balkhausen
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-12-25,320,AWD0000muw,Balkhausen,Turnich,,domestic:parades,3.0,"[6.7598098000000002, 50.855628199999998, 'Balkhausen']","[6.7471576000000004, 50.864197400000002, 'Türnich']",,"[6.7598098000000002, 50.855628199999998, 'Balkhausen']",6.7598098,50.8556282,Balkhausen
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-12-26,320,AWD0000muw,Cologne,Balkhausen,,domestic:parades,10.0,"[6.9599740000000008, 50.938361, 'Cologne']","[6.7598098000000002, 50.855628199999998, 'Balkhausen']",,"[6.9599740000000008, 50.938361, 'Cologne']",6.959974000000001,50.938361,Cologne
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-12-27,321,AWD0000mya,Balkhausen,Turnich,,domestic:parades,8.0,"[6.7598098000000002, 50.855628199999998, 'Balkhausen']","[6.7471576000000004, 50.864197400000002, 'Türnich']",,"[6.7598098000000002, 50.855628199999998, 'Balkhausen']",6.7598098,50.8556282,Balkhausen
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-12-30,321,AWD0000mya,Turnich,,,domestic:parades,3.0,"[6.7471576000000004, 50.864197400000002, 'Türnich']",,,"[6.7471576000000004, 50.864197400000002, 'Türnich']",6.7471576,50.8641974,Türnich
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1919-01-02,322,AWD0000mwb,Turnich,Aldershot,,domestic:parades,10.0,"[6.7471576000000004, 50.864197400000002, 'Türnich']","[-0.76301479999999999, 51.2494169, 'Aldershot']",,"[6.7471576000000004, 50.864197400000002, 'Türnich']",6.7471576,50.8641974,Türnich
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1919-01-04,322,AWD0000mwb,Turnich,,,domestic:parades,8.0,"[6.7471576000000004, 50.864197400000002, 'Türnich']",,,"[6.7471576000000004, 50.864197400000002, 'Türnich']",6.7471576,50.8641974,Türnich
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1919-01-05,322,AWD0000mwb,Turnich,,,domestic:parades,3.0,"[6.7471576000000004, 50.864197400000002, 'Türnich']",,,"[6.7471576000000004, 50.864197400000002, 'Türnich']",6.7471576,50.8641974,Türnich
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1919-01-06,322,AWD0000mwb,Turnich,,,domestic:parades,1.0,"[6.7471576000000004, 50.864197400000002, 'Türnich']",,,"[6.7471576000000004, 50.864197400000002, 'Türnich']",6.7471576,50.8641974,Türnich
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1919-01-07,323,AWD0000mrw,Turnich,,,domestic:parades,5.0,"[6.7471576000000004, 50.864197400000002, 'Türnich']",,,"[6.7471576000000004, 50.864197400000002, 'Türnich']",6.7471576,50.8641974,Türnich
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1919-01-10,323,AWD0000mrw,Turnich,,,domestic:parades,1.0,"[6.7471576000000004, 50.864197400000002, 'Türnich']",,,"[6.7471576000000004, 50.864197400000002, 'Türnich']",6.7471576,50.8641974,Türnich
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1919-01-12,323,AWD0000mrw,Turnich,,,domestic:parades,2.0,"[6.7471576000000004, 50.864197400000002, 'Türnich']",,,"[6.7471576000000004, 50.864197400000002, 'Türnich']",6.7471576,50.8641974,Türnich
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1919-01-13,323,AWD0000mrw,Turnich,,,domestic:parades,5.0,"[6.7471576000000004, 50.864197400000002, 'Türnich']",,,"[6.7471576000000004, 50.864197400000002, 'Türnich']",6.7471576,50.8641974,Türnich
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1919-01-14,324,AWD0000mza,Turnich,,,domestic:parades,1.0,"[6.7471576000000004, 50.864197400000002, 'Türnich']",,,"[6.7471576000000004, 50.864197400000002, 'Türnich']",6.7471576,50.8641974,Türnich
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1919-01-17,324,AWD0000mza,Turnich,Balkhausen,,domestic:parades,5.0,"[6.7471576000000004, 50.864197400000002, 'Türnich']","[6.7598098000000002, 50.855628199999998, 'Balkhausen']",,"[6.7471576000000004, 50.864197400000002, 'Türnich']",6.7471576,50.8641974,Türnich
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1919-01-18,324,AWD0000mza,Turnich,,,domestic:parades,6.0,"[6.7471576000000004, 50.864197400000002, 'Türnich']",,,"[6.7471576000000004, 50.864197400000002, 'Türnich']",6.7471576,50.8641974,Türnich
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1919-01-19,324,AWD0000mza,Turnich,,,domestic:parades,3.0,"[6.7471576000000004, 50.864197400000002, 'Türnich']",,,"[6.7471576000000004, 50.864197400000002, 'Türnich']",6.7471576,50.8641974,Türnich
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1919-01-22,325,AWD0000mwm,Turnich,Cologne,,domestic:parades,2.0,"[6.7471576000000004, 50.864197400000002, 'Türnich']","[6.9599740000000008, 50.938361, 'Cologne']",,"[6.7471576000000004, 50.864197400000002, 'Türnich']",6.7471576,50.8641974,Türnich
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1919-01-23,325,AWD0000mwm,Turnich,,,domestic:parades,6.0,"[6.7471576000000004, 50.864197400000002, 'Türnich']",,,"[6.7471576000000004, 50.864197400000002, 'Türnich']",6.7471576,50.8641974,Türnich
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1919-01-24,325,AWD0000mwm,Turnich,,,domestic:parades,2.0,"[6.7471576000000004, 50.864197400000002, 'Türnich']",,,"[6.7471576000000004, 50.864197400000002, 'Türnich']",6.7471576,50.8641974,Türnich
